STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/1/1952,0.01,0,0,,47,39
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/2/1952,0.26,0.2,0,,44,33
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/3/1952,0.23,2.4,2,,33,19
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/4/1952,0,0,2,,30,16
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/5/1952,0.02,0.2,2,,36,27
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/6/1952,0,0,2,,30,20
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/7/1952,0,0,2,,25,15
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/8/1952,0,0,2,,29,9
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/9/1952,0,0,2,,33,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/10/1952,0.05,0,2,,34,23
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/11/1952,0.03,0,2,,29,17
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/12/1952,0,0,1,,42,20
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/13/1952,0,0,1,,41,22
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/14/1952,0.24,0,0,,40,35
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/15/1952,0.08,0,0,,48,40
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/16/1952,0,0,0,,41,28
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/17/1952,0.34,0,0,,42,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/18/1952,0.01,0,0,,44,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/19/1952,0.1,0,0,,34,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/20/1952,0.18,0,0,,39,31
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/21/1952,0,0,0,,31,16
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/22/1952,0.12,0,0,,49,15
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/23/1952,0,0,0,,44,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/24/1952,0.04,0.5,1,,25,14
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/25/1952,0,0,1,,32,10
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/26/1952,0.9,0,0,,46,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/27/1952,0.38,0,0,,46,35
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/28/1952,0.16,0,0,,35,17
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/29/1952,0,0,0,,17,3
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/30/1952,0,0,0,,20,2
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1/31/1952,0,0,0,,33,11
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/1/1952,0,0,0,,52,24
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/2/1952,0.14,0,0,,52,36
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/3/1952,0.02,0,0,,44,33
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/4/1952,0.42,0,0,,48,40
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/5/1952,0.01,0,0,,47,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/6/1952,0.02,0,0,,38,27
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/7/1952,0.01,0,0,,34,24
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/8/1952,0.02,0,0,,43,26
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/9/1952,0,0,0,,43,29
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/10/1952,0,0,0,,41,29
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/11/1952,0.14,0,0,,44,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/12/1952,0,0,0,,29,17
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/13/1952,0,0,0,,23,11
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/14/1952,0,0,0,,28,9
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/15/1952,0,0,0,,36,12
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/16/1952,0.41,3,3,,38,19
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/17/1952,0.08,0.2,3,,35,30
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/18/1952,0.02,0.1,3,,34,27
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/19/1952,0,0,2,,29,19
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/20/1952,0,0.2,2,,36,15
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/21/1952,0.04,0.1,1,,39,22
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/22/1952,0,0,1,,32,22
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/23/1952,0,0,0,,33,18
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/24/1952,0,0,0,,40,22
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/25/1952,0.03,0,0,,33,24
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/26/1952,0,0,0,,40,13
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/27/1952,0,0,0,,40,20
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/28/1952,0.05,1,0,,39,28
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",2/29/1952,0.03,0.1,0,,35,27
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/1/1952,0.22,3,3,,32,22
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/2/1952,0,0,3,,31,13
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/3/1952,0,0,2,,35,28
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/4/1952,0.6,1,1,,35,29
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/5/1952,0.25,1.2,3,,33,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/6/1952,0,0,3,,26,22
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/7/1952,0,0.3,3,,30,21
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/8/1952,0,0,3,,32,24
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/9/1952,0,0,2,,41,23
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/10/1952,0,0,0,,44,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/11/1952,1.53,0,0,,52,36
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/12/1952,0,0,0,,43,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/13/1952,0.04,0,0,,39,24
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/14/1952,0,0,0,,33,23
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/15/1952,0,0,0,,36,19
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/16/1952,0,0,0,,27,17
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/17/1952,0,0,0,,32,26
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/18/1952,0,0,0,,50,29
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/19/1952,0.38,1.2,0,,38,33
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/20/1952,0,0,0,,56,34
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/21/1952,0.01,0,0,,69,40
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/22/1952,0.11,0,0,,46,37
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/23/1952,0.38,0,0,,45,38
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/24/1952,0,0,0,,44,33
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/25/1952,0,0,0,,51,30
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/26/1952,0,0,0,,60,35
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/27/1952,0,0,0,,47,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/28/1952,0,0,0,,44,29
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/29/1952,0,0,0,,46,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/30/1952,0,0,0,,53,28
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",3/31/1952,0,0,0,,63,40
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/1/1952,0.42,0,0,,65,44
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/2/1952,0.1,0,0,,59,44
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/3/1952,0.02,0,0,,51,37
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/4/1952,0.01,0,0,,62,33
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/5/1952,0.66,0,0,,61,41
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/6/1952,0,0,0,,41,34
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/7/1952,0,0,0,,39,34
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/8/1952,0,0,0,,47,36
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/9/1952,0,0,0,,55,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/10/1952,0,0,0,,64,36
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/11/1952,0,0,0,,51,32
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/12/1952,0,0,0,,43,25
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/13/1952,0.62,0,0,,47,36
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/14/1952,0.44,0,0,,67,45
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/15/1952,1.36,0,0,,54,42
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/16/1952,0,0,0,,58,35
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/17/1952,0,0,0,,69,38
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/18/1952,0,0,0,,72,47
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/19/1952,0,0,0,,74,48
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/20/1952,0,0,0,,78,52
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/21/1952,0,0,0,,70,48
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/22/1952,0,0,0,,83,45
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/23/1952,0,0,0,,68,46
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/24/1952,0,0,0,,64,42
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/25/1952,1.22,0,0,,47,40
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/26/1952,0.16,0,0,,57,42
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/27/1952,0.09,0,0,,61,49
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/28/1952,0.76,0,0,,56,50
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/29/1952,0,0,0,,66,49
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",4/30/1952,0,0,0,,65,47
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/1/1952,0,0,0,,59,40
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/2/1952,0,0,0,,61,34
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/3/1952,0,0,0,,63,39
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/4/1952,0,0,0,,71,41
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/5/1952,0,0,0,,57,38
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/6/1952,0,0,0,,78,48
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/7/1952,0,0,0,,56,45
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/8/1952,0,0,0,,63,40
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/9/1952,0,0,0,,71,42
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/10/1952,0.06,0,0,,71,51
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",5/11/1952,0.48,0,0,,60,51
